Artist Name,Billboard top 10,Billboard #1,Albums sold,Singles sold,Avg. song per yr,Awards,Youtube views,Spotify listeners,Rating,Platinum Albums,Experiece
21 Savage,17,2,7.5M,100m+,11,4,6.6B,40.8M,90,5,
50 cent,13,4,17M,57M,2,27,15B,43M,94,3,2002-2020
Arctic Monkeys,0,0,5M,7M,0,7,7.7B,52.4M,82,2,
Beyoncé,24,9,37M,100M,4,144,22B,60M,96,8,2002-2026
cardi b,13,5,9M,100M,8,31,9B,31M,94,2,2017-2025
Daniel Caesar,2,1,1.5M,32M,1,3,1.5B,40.9M,83,1,
Destroy Lonely,0,0,0,1M,0,0,258M,7M,75,0,
drake,90,14,58M,100M,24,52,23B,91M,99,13,2009-2026
eminem,23,5,57M,100M,4,56,37B,70M,98,11,1996-2024
Fivio Foreign,0,0,0,7M,3,0,678M,3.2M,76,0,
Future,16,3,16.5M,100m+,15,5,14.7B,53.4M,94,10,
gunna,4,0,5.5M,71M,12,0,3.5B,32M,84,5,2017-2025
J. Cole,13,1,15M,100M+,7,10,5.4B,37.3M,91,6,
jay z,22,4,42.5M,100M,4,85,3B,46M,95,17,1996-2022
Kanye West,21,5,43M,100M,8,68,9B,69M,97,11,2003-2026
katy perry,14,9,19M,100M,2,17,30B,91M,95,3,2007-2024
Ken Carson,0,0,1M,5.5M,0,0,503M,4.2M,76,1,
Kendrick Lamar,23,6,9M,100M+,6,78,12.5B,68.1M,95,5,
lady gaga,18,6,16.5M,89.5M,3,51,25B,98M,95,7,2008-2026
Lil Baby,13,0,12M,100+,18,4,11.6B,30M,90,5,
Lil Shordie Scott,0,0,0,0,0,0,27M,316000,71,0,
mariah carey,28,19,63.5M,83M,1,49,11B,35M,96,12,1990-2025
mc hammer,5,0,16M,6.5M,2,11,1.1B,3M,81,4,1988-1994
Meek Mill,1,0,3M,36.5M,5,2,4.7B,14.9M,83,2,
NBA YoungBoy,1,0,15.5M,100M+,11,1,19B,19.4M,87,11,
Nicki Minaj,23,3,11M,100M+,9,82,12.7B,47.2M,95,5,
Playboi Carti,7,1,3M,24M,6,2,2.7B,40.3M,85,2,
rihanna,32,14,29M,100M,4,43,29B,110M,97,8,2005-2022
Sheff G,0,0,0,3M,0,0,706M,2.3M,75,0,
Sleepy Hallow,0,0,500000,10.5M,1,0,1.4B,5.9M,78,0,
Snoop Dogg,12,3,15.5M,42M,2,4,4.8B,32.4M,89,8,
taylor swift,70,15,92M,100M,11,133,45B,101M,99,13,2006-2026
The Neighbourhood,0,0,3.5M,39M,0,0,4.2B,44.3M,80,2,
Travis Scott,18,5,14M,100M+,10,7,12.2B,58.5M,93,4,
whitney houston,23,11,56.5M,56M,2,69,8B,29M,95,8,1984-2009
Yeat,1,0,500000,10M,3,0,1.3B,16.3M,79,0,
Young Thug,6,3,2.5M,69M,9,7,5.5B,28.4M,88,1,
ariana grande,24,10,17M,100M,7,22,32B,94M,96,8,2011-2026
madonna,38,12,49M,22M,1,50,8B,56M,95,13,1983-2026
lil wayne,26,3,25.5M,100M,8,43,9B,45M,95,9,1999-2025
britney spears,14,5,37.5M,65M,2,15,11B,48M,95,7,1998-2022
adele,8,5,36M,37M,2,54,19B,55M,93,4,2008-2022
christina aguilera,11,5,18M,38M,1,20,5B,33M,93,5,1999-2020
janet jackson,27,10,24M,20.5M,1,38,1B,9M,93,7,1982-2025
ti,11,4,11.5M,57.5M,3,22,4.3B,17M,93,6,2003-2026
nelly,14,4,22.5M,26M,2,20,6B,25M,92,4,2000-2020
miley cyrus,13,2,11M,81.5M,4,16,11B,57M,92,4,2007-2026
ludacris,18,5,13.5M,66M,3,12,1.8B,9M,91,6,2000-2018
doja cat,9,2,5.5M,68M,4,23,11B,54M,91,3,2018-2026
diddy,15,5,8.5M,14.5M,1,9,2B,11M,90,2,1996-2023
billie eilish,7,1,7M,74.5M,5,33,22B,77M,90,3,2016-2025
Dr. Dre,6,2,10M,11.5M,1,13,5.6B,22M,88,2,1989-2012
dj khaled,7,1,6M,70.5M,3,6,7.8B,23M,88,4,2006-2026
outkast,4,3,25M,32.5M,1,15,2.8B,29M,88,6,1993-2007
selena gomez,9,1,2.5M,48.5M,3,7,16B,43M,88,2,2008-2025
megan thee stallion,4,3,3.5M,49M,5,21,4B,27M,88,1,2018-2026
The Notorious B.I.G.,5,2,20M,21M,1,5,4.3B,26M,88,4,1994-2015
migos,4,1,3M,59.5M,5,5,8.3B,20M,86,2,2013-2021
polo g,2,1,7M,87.5M,12,0,4.5B,14M,85,3,2019-2023
roddy ricch,2,2,2.5M,47.5M,4,6,4B,19M,85,1,2018-2024
lil durk,3,0,8M,85.5M,10,4,7.5B,18M,85,5,2015-2025
2pac,2,1,30.5M,11M,1,4,5.5B,27M,85,9,1991-2008
quavo,6,1,500000,51.5M,3,2,1B,13M,85,0,2015-2026
rod wave,0,0,5M,64M,13,0,7.9B,6M,84,5,2018-2025
iggy azalea,3,1,2M,32M,2,7,4.4B,7M,84,1,2013-2019
kodak black,4,0,7.5M,100M,4,0,8.5B,30M,84,4,2014-2024
wizkid,2,1,500000,17M,1,17,2.6B,18M,84,0,2016-2026
Bone thugs ,3,1,9.5M,6M,1,3,1.6B,6M,83,3,1994-2007
6ix9ine,3,1,2M,29M,3,0,7.4B,12M,83,2,2017-2024
A Boogie Wit da Hoodie,0,0,6M,80M,4,2,4.1B,16M,83,4,2016-2025
fabolous,5,0,3.5M,8.5M,1,1,1B,5M,83,2,2001-2018
french montana,2,0,2.5M,26M,1,2,4.7B,32M,83,2,2012-2026
dmx,0,0,14M,13M,1,2,2.7B,10M,83,5,1997-2023
coolio,3,1,3.5M,5.5M,2,8,842M,17M,82,2,1994-1997
fat joe,2,0,1.5M,5M,1,2,1.6B,9M,82,1,1993-2019
yg,1,0,2.5M,37.5M,1,1,2.6B,11M,82,1,2010-2025
latto,2,1,1.5M,13.5M,2,4,1.6B,15M,82,0,2019-2026
wale,0,0,2M,27M,1,1,1.9B,14M,82,0,2009-2025
twista,3,1,3.5M,8M,1,1,572M,6M,82,2,1996-2010
ice cube,0,0,10.5M,3M,1,0,2.4B,15M,81,7,1990-2006
